Code,Area,Total,Austria,Belgium,Denmark,Finland,France,Germany,Greece,Italy,Luxembourg,Netherlands,Portugal,Rep of Ireland,Spain,Sweden,French Overseas Depts,Rep of Estonia,Czech Rep,Slovak Rep,Hungary,Rep of Latvia,Rep of Lithuania,Poland,Rep of Slovenia,Malta,Cyprus,Bulgaria,Romania,Switzerland,Norway,Iceland,Ukraine,Russian Federation,Rep of Armenia,Rep of Belarus,Rep of Moldova,Rep of Azerbaijan,Rep of Georgia,Turkey,Albania,Rep of Croatia,Rep of Bosnia-Herzegovina,Former Yug Rep of Macedonia,Serbia and Montenegro,Andorra,Monaco,Liechtenstein,Faroe Islands,Algeria,Angola,Benin,Bissau ..-Guinea-..,Botswana,Burkina Faso,Burundi,Cameroon,Cape Verde Islands,Central African Rep,Chad,Comoro Islands,Congo,Cote D Ivoire,Democratic Rep of Congo,Djibouti,Egypt,Equatorial Guinea,Eritrea,Ethiopia,Gabon,Gambia,Ghana,Guinea,Kenya,Lesotho,Liberia,Libya,Malagasy Rep,Malawi,Mali,Mauritania,Mauritius,Morocco,Mozambique,Namibia,Niger,Nigeria,Principe and Sao Tome,Rwanda,Senegal,Seychelles,Sierra Leone,Somalia,South Africa,St Helena and Deps,Sudan,Swaziland,Tanzania,Togo,Tunisia,Uganda,Zambia,Zimbabwe,Afghanistan,Arab Emirates,Bahrain,Bangladesh,Bhutan,Brunei,Cambodia,China Peoples Rep,_Macau,_Hong Kong,East Timor,India,Indonesia,Iran,Iraq,Israel,Japan,Jordan,North Korea,South Korea,Kuwait,Laos,Lebanon,Malaysia,_Sabah,Mongolia,Union of Myanmar ..-Burma-..,Nepal,Oman,Pakistan,Philippines,Qatar,Rep of Kazakhstan,Rep of Kyrgyzstan,Rep of Tajikistan,Rep of Turkmenistan,Rep of Uzbekistan,Saudi Arabia,Singapore,Sri Lanka,Syria,Taiwan,Thailand,Vietnam,Rep of Yemen,Maldive Islands,British Indian Ocean Islands,USA,Canada,Anguilla,Antigua,Argentina,Bahamas,Barbados,Barbuda,Belize,Bermuda,Bolivia,Brazil,Cayman Islands,Chile,Colombia,Commonwealth of Dominica,Costa Rica,Cuba,Dominican Rep,Ecuador,El Salvador,Falkland Islands and Deps,Grenada,Guatemala,Guyana,Haiti,Honduras,Jamaica,Mexico,Montserrat,Nevis - St Kitts-Nevis,Nicaragua,Panama,Paraguay,Peru,St Lucia,St Vincent and Grenadines,Suriname,Trinidad and Tobago,Turks and Caicos Islands,Uruguay,Venezuala,Virgin Islands ..-British-..,Australia,New Zealand,Fiji,Samoa,American Samoa,Tonga,Cook Islands,Micronesia ..-Sub Region-..,Papua New Guinea,Pitcairn,Solomon Islands,Vanuatu,Others and Unknown
00AQ,Harrow,3160,10,10,10,10,80,70,20,40,0,30,70,80,20,20,0,0,10,20,10,0,20,60,0,0,0,20,40,0,10,0,10,10,0,0,0,0,0,40,0,10,10,20,10,0,0,0,0,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,160,0,0,0,0,0,0,0,10,0,0,0,0,40,0,0,0,0,0,110,120,0,0,0,20,0,0,20,10,50,220,0,0,10,0,0,0,30,0,0,0,470,0,40,40,10,0,10,0,30,0,0,0,20,0,0,0,30,0,100,50,0,0,0,0,0,0,0,10,410,0,0,10,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,70,50,0,0,0,0,0,0,0,0,0,0,0
00AR,Havering,750,0,0,0,0,20,10,0,20,0,10,10,30,10,0,0,0,0,0,0,0,10,10,0,0,0,10,10,0,0,0,10,0,0,0,0,0,0,10,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,10,0,0,0,0,40,0,0,0,0,0,0,50,0,0,0,0,0,0,0,10,60,0,0,0,10,0,0,0,20,0,0,0,40,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,20,50,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,50,10,0,0,0,0,0,0,0,0,0,0,0
00AS,Hillingdon,2590,10,10,10,10,40,40,10,40,0,30,70,50,30,20,0,0,0,0,10,0,10,40,0,0,0,20,20,0,0,0,10,10,0,0,0,0,0,10,10,10,0,20,20,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,20,20,0,0,20,0,30,0,0,0,0,0,0,0,40,0,0,0,0,40,0,0,0,0,10,150,90,0,0,0,10,0,0,10,10,100,180,0,0,40,0,0,0,50,0,0,0,300,0,20,30,0,20,10,0,10,0,0,0,20,0,0,30,30,0,140,50,0,0,0,0,0,0,0,10,170,0,0,20,0,0,0,0,30,20,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,10,0,0,0,0,0,0,0,0,0,20,0,0,0,0,40,30,0,0,0,0,0,0,0,0,0,0,0
00AT,Hounslow,5590,20,20,20,20,190,70,20,70,0,70,160,70,90,30,0,0,10,20,10,10,30,210,0,10,0,60,20,10,10,0,40,10,0,0,0,0,0,20,10,10,10,20,20,0,0,0,0,40,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,10,0,0,90,0,40,0,10,0,0,10,0,0,30,10,0,0,0,30,0,10,0,10,10,140,250,0,10,0,20,0,0,50,10,130,290,0,0,30,0,0,0,30,0,0,0,1370,0,40,50,0,20,0,0,20,0,0,10,30,0,0,100,30,0,300,140,0,0,0,0,0,0,0,10,150,10,0,20,0,10,0,0,60,30,0,0,0,0,0,0,0,0,0,40,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,190,110,0,0,0,0,0,0,0,0,0,0,10
00AU,Islington,4520,20,10,30,20,180,150,60,280,0,60,70,140,180,90,0,0,10,20,20,0,20,130,10,0,10,50,20,20,10,0,20,20,0,0,0,0,20,140,10,20,10,20,20,0,0,0,0,30,20,0,0,0,0,10,0,0,0,0,0,10,10,10,0,10,0,30,30,0,0,40,0,20,0,0,0,0,0,0,0,20,10,0,0,0,70,0,10,0,0,10,140,110,0,0,0,0,0,0,10,10,20,20,0,0,90,0,0,0,100,0,0,0,60,0,40,30,10,70,0,0,30,0,0,10,50,0,0,0,10,0,30,60,0,0,0,0,0,0,0,10,10,0,10,20,10,0,0,0,190,100,0,0,10,0,0,0,0,0,10,50,0,0,60,0,0,0,0,10,0,0,0,0,10,0,0,50,0,0,0,0,0,0,10,0,0,0,10,0,0,10,0,550,190,0,0,0,0,0,0,0,0,0,0,10
00AW,Kensington and Chelsea,5460,30,50,60,30,460,220,70,370,0,130,90,100,330,150,0,0,10,20,10,10,10,70,0,0,10,30,10,50,40,0,20,40,0,0,0,0,0,40,0,20,0,10,10,0,0,0,0,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,10,10,0,10,10,0,10,0,0,0,0,0,0,0,10,30,0,0,0,20,0,0,0,0,0,20,160,0,10,0,0,0,0,0,0,10,10,0,0,30,0,0,0,50,0,0,0,80,0,50,110,10,70,10,0,30,0,0,40,50,0,20,0,10,0,30,180,0,0,0,0,0,0,0,20,10,10,0,20,0,0,0,0,610,120,0,0,30,0,10,0,0,0,0,60,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,20,10,0,0,0,0,0,10,0,0,0,10,0,0,10,0,560,170,0,0,0,0,0,0,0,0,0,0,10
00AX,Kingston upon Thames,1840,10,10,20,0,50,50,20,50,0,10,40,40,40,10,0,0,10,0,10,0,10,30,0,0,0,30,10,0,10,0,0,10,0,0,0,0,0,10,0,10,0,10,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,160,0,0,0,0,0,0,10,0,50,60,0,0,10,0,0,0,40,0,0,0,80,0,20,50,0,10,0,0,170,0,0,10,10,0,0,0,0,0,50,80,0,0,0,0,0,0,0,0,160,0,0,10,0,0,0,0,30,20,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,90,30,0,0,0,0,0,0,0,0,0,0,0
00AY,Lambeth,7020,30,30,30,30,390,170,20,320,0,70,360,170,270,80,0,10,20,20,10,10,30,250,0,0,10,90,30,10,20,0,30,20,0,0,0,0,0,40,0,20,10,20,20,0,0,0,0,40,40,0,0,0,0,10,20,0,0,0,0,30,90,20,0,10,0,60,40,0,10,290,10,20,0,0,0,0,10,0,0,20,10,0,0,0,220,0,20,0,0,70,210,240,0,10,0,10,0,0,60,20,60,70,0,0,40,0,0,0,60,0,0,0,110,10,30,40,10,40,0,0,30,0,0,0,30,0,10,10,10,0,90,140,0,0,0,0,0,0,0,10,20,0,0,20,10,0,0,0,100,80,0,0,20,0,10,0,0,0,20,100,0,10,80,0,0,10,10,50,0,0,0,0,10,0,0,550,10,0,0,0,0,0,10,10,0,0,10,0,0,10,0,570,240,0,0,0,0,0,0,0,0,0,0,10
00AZ,Lewisham,4580,10,20,10,20,240,110,30,130,0,50,60,90,110,40,0,0,10,10,0,10,60,100,10,0,10,60,40,0,10,0,20,20,0,0,0,0,0,70,10,20,10,30,30,0,0,0,0,30,10,0,0,0,0,10,20,0,0,0,0,20,100,10,0,0,0,10,0,0,40,160,10,20,0,10,0,0,30,0,0,20,10,0,0,0,290,0,10,0,0,70,80,180,0,0,0,10,0,0,70,30,110,90,0,0,30,0,0,0,150,0,0,0,120,0,20,30,10,20,0,0,10,0,0,0,30,0,0,10,10,0,20,40,0,0,0,0,0,0,0,0,190,0,0,10,20,0,0,0,40,30,0,0,10,0,10,0,0,0,10,50,0,0,20,0,0,0,0,10,0,0,0,0,20,0,0,430,0,0,0,0,0,0,0,10,0,0,20,0,0,10,0,140,70,0,0,0,0,0,0,0,0,0,0,10
00BA,Merton,3990,20,10,20,10,120,70,20,80,0,50,60,80,40,30,0,0,10,10,10,10,30,130,0,0,0,50,20,10,10,0,20,10,0,0,0,0,0,30,0,10,0,10,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,140,0,10,0,10,0,0,0,0,0,40,10,0,10,0,50,0,10,0,0,10,40,770,0,0,0,0,0,0,40,10,80,50,0,0,30,0,0,0,50,0,0,0,140,0,10,30,10,30,0,0,110,0,0,0,20,0,0,0,10,0,130,50,0,0,0,0,0,0,0,0,440,0,0,10,0,0,0,0,50,40,0,0,10,0,0,0,0,0,0,20,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,80,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,240,140,0,0,0,0,0,0,0,0,0,0,10
