Code,Area,Total,Austria,Belgium,Denmark,Finland,France,Germany,Greece,Italy,Luxembourg,Netherlands,Portugal,Rep of Ireland,Spain,Sweden,French Overseas Depts,Rep of Estonia,Czech Rep,Slovak Rep,Hungary,Rep of Latvia,Rep of Lithuania,Poland,Rep of Slovenia,Malta,Cyprus,Bulgaria,Romania,Switzerland,Norway,Iceland,Ukraine,Russian Federation,Rep of Armenia,Rep of Belarus,Rep of Moldova,Rep of Azerbaijan,Rep of Georgia,Turkey,Albania,Rep of Croatia,Rep of Bosnia-Herzegovina,Former Yug Rep of Macedonia,Serbia and Montenegro,Andorra,Monaco,Liechtenstein,Faroe Islands,Algeria,Angola,Benin,Bissau ..-Guinea-..,Botswana,Burkina Faso,Burundi,Cameroon,Cape Verde Islands,Central African Rep,Chad,Comoro Islands,Congo,Cote D Ivoire,Democratic Rep of Congo,Djibouti,Egypt,Equatorial Guinea,Eritrea,Ethiopia,Gabon,Gambia,Ghana,Guinea,Kenya,Lesotho,Liberia,Libya,Malagasy Rep,Malawi,Mali,Mauritania,Mauritius,Morocco,Mozambique,Namibia,Niger,Nigeria,Principe and Sao Tome,Rwanda,Senegal,Seychelles,Sierra Leone,Somalia,South Africa,St Helena and Deps,Sudan,Swaziland,Tanzania,Togo,Tunisia,Uganda,Zambia,Zimbabwe,Afghanistan,Arab Emirates,Bahrain,Bangladesh,Bhutan,Brunei,Cambodia,China Peoples Rep,_Macau,_Hong Kong,East Timor,India,Indonesia,Iran,Iraq,Israel,Japan,Jordan,North Korea,South Korea,Kuwait,Laos,Lebanon,Malaysia,_Sabah,Mongolia,Union of Myanmar ..-Burma-..,Nepal,Oman,Pakistan,Philippines,Qatar,Rep of Kazakhstan,Rep of Kyrgyzstan,Rep of Tajikistan,Rep of Turkmenistan,Rep of Uzbekistan,Saudi Arabia,Singapore,Sri Lanka,Syria,Taiwan,Thailand,Vietnam,Rep of Yemen,Maldive Islands,British Indian Ocean Islands,USA,Canada,Anguilla,Antigua,Argentina,Bahamas,Barbados,Barbuda,Belize,Bermuda,Bolivia,Brazil,Cayman Islands,Chile,Colombia,Commonwealth of Dominica,Costa Rica,Cuba,Dominican Rep,Ecuador,El Salvador,Falkland Islands and Deps,Grenada,Guatemala,Guyana,Haiti,Honduras,Jamaica,Mexico,Montserrat,Nevis - St Kitts-Nevis,Nicaragua,Panama,Paraguay,Peru,St Lucia,St Vincent and Grenadines,Suriname,Trinidad and Tobago,Turks and Caicos Islands,Uruguay,Venezuala,Virgin Islands ..-British-..,Australia,New Zealand,Fiji,Samoa,American Samoa,Tonga,Cook Islands,Micronesia ..-Sub Region-..,Papua New Guinea,Pitcairn,Solomon Islands,Vanuatu,Others and Unknown
00AA,City of London,720,0,0,0,0,70,50,10,30,0,20,10,10,20,10,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,60,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,30,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,30,0,0,0,0,0,0,0,0,0,0,0
00AB,Barking and Dagenham,3080,20,20,10,0,60,70,10,20,0,60,90,20,20,20,0,0,20,30,10,20,350,320,10,0,10,50,20,0,0,0,10,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,10,0,10,0,0,0,0,0,0,10,110,0,20,0,0,0,0,10,0,0,10,0,0,0,0,430,0,0,0,0,10,20,30,0,0,0,20,0,0,10,10,30,10,0,0,90,0,0,0,20,0,0,0,230,0,10,10,0,0,0,0,0,0,0,0,10,0,0,0,10,0,370,30,0,0,0,0,0,0,0,0,30,0,0,10,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,0,0,0,0,0,0,0,0,0,0,0
00AC,Barnet,9220,10,30,40,20,250,170,50,200,0,110,130,110,90,80,0,20,200,520,300,40,230,2110,10,10,30,80,170,20,10,0,20,30,0,10,0,0,10,100,50,20,10,20,10,0,0,0,0,30,10,0,0,0,0,0,10,0,0,0,0,10,10,0,0,0,0,0,0,0,10,80,0,70,0,0,0,0,0,0,0,50,20,0,0,0,240,10,0,0,0,10,70,290,0,0,0,10,0,0,10,20,40,80,0,0,40,0,0,0,140,0,0,0,520,20,130,10,160,110,10,0,60,10,0,0,50,0,0,10,90,0,230,170,0,0,10,0,0,20,0,10,110,10,10,30,0,0,0,0,120,50,0,0,10,0,0,0,0,0,0,90,0,0,40,0,0,0,0,10,0,0,0,0,0,0,0,20,10,0,0,0,0,0,0,0,0,0,20,0,0,0,0,300,120,0,0,0,0,0,0,0,0,0,0,10
00AD,Bexley,1540,10,10,0,0,50,40,0,10,0,30,10,20,10,10,0,0,20,50,10,10,70,290,0,0,0,10,10,0,10,0,0,10,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,10,0,0,0,0,320,0,0,0,0,10,0,40,0,0,0,0,0,0,0,10,20,0,0,0,20,0,0,0,20,0,0,0,120,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,10,10,0,0,0,0,0,0,0,0,20,0,0,10,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,10,0,0,0,0,0,0,0,0,0,0,0
00AE,Brent,15510,20,30,60,10,370,210,40,540,0,250,290,180,210,140,0,20,140,250,400,70,280,3270,10,0,0,70,400,20,30,0,20,30,0,10,10,0,10,30,40,10,10,10,0,0,0,0,0,40,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,20,0,10,10,0,10,140,0,70,0,0,10,0,0,0,0,40,30,0,0,0,160,10,0,0,0,10,160,230,0,20,0,20,0,10,10,10,20,100,0,0,30,0,0,0,70,0,0,0,2860,10,60,40,10,30,10,0,20,20,0,40,30,0,0,30,380,0,510,190,0,10,0,0,10,40,0,10,330,40,0,30,0,0,0,0,80,90,0,0,10,0,10,0,0,0,10,430,0,0,70,0,0,0,0,10,0,0,10,0,10,0,0,60,10,0,0,0,0,0,10,10,0,0,20,0,0,10,0,710,420,0,0,0,0,0,0,0,0,0,0,30
00AF,Bromley,2200,0,10,10,0,60,60,10,60,0,20,30,40,20,20,0,0,30,60,60,20,70,400,0,0,10,20,20,10,0,0,20,10,0,0,0,0,0,30,20,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,50,0,10,0,0,0,0,0,0,0,10,0,0,0,0,70,0,0,0,0,0,10,90,0,0,0,0,0,0,10,10,30,10,0,0,30,0,0,0,30,0,0,0,150,0,10,0,0,10,0,0,0,0,0,0,10,0,0,0,20,0,20,60,0,0,0,0,0,10,0,0,20,0,0,20,0,0,0,0,40,20,0,0,0,0,0,0,0,0,0,30,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,20,0,0,0,0,0,0,0,0,0,0,0
00AG,Camden,8250,50,40,110,50,600,340,120,470,0,120,100,170,250,130,0,10,60,100,100,40,70,590,20,10,40,30,30,40,30,10,10,60,0,10,0,0,0,60,10,20,10,10,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,20,0,20,20,0,0,20,0,20,0,0,0,0,0,0,0,10,20,0,0,0,50,0,0,0,0,0,70,190,0,20,0,0,0,0,0,0,10,20,0,0,190,0,0,0,130,0,0,0,230,10,40,20,80,140,0,0,70,0,0,20,80,0,0,10,30,0,70,80,0,10,0,0,0,20,0,30,20,10,20,30,10,0,0,0,510,180,0,0,20,0,0,0,0,0,0,160,0,10,100,0,0,10,0,10,0,0,0,0,0,0,0,10,30,0,0,0,0,0,10,0,0,0,10,0,0,0,0,940,400,0,0,0,0,0,0,0,0,0,0,10
00AH,Croydon,6270,20,30,10,10,210,170,10,80,0,130,90,40,70,40,0,10,50,120,130,50,120,1130,10,10,10,40,30,0,10,0,10,10,0,10,10,0,0,60,30,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,20,20,10,0,10,0,10,10,0,10,240,10,20,0,10,0,0,0,0,0,180,10,0,0,0,210,0,0,0,0,20,30,130,0,0,0,10,0,0,40,20,50,30,0,0,50,0,0,0,50,0,0,0,1040,0,20,20,0,10,0,0,0,0,0,0,20,0,0,0,10,0,290,60,0,0,0,0,0,10,0,0,170,0,0,20,0,0,0,0,60,30,0,0,0,0,10,0,0,0,0,50,0,0,20,0,0,0,0,0,0,0,0,0,20,0,0,150,10,0,0,0,0,0,0,0,10,0,20,0,0,10,0,90,20,0,0,0,0,0,0,0,0,0,0,0
00AJ,Ealing,14250,20,30,60,40,330,270,40,220,0,210,150,200,110,110,0,20,80,220,170,90,290,5210,20,10,10,50,40,10,40,0,40,30,0,10,10,0,0,40,20,10,10,10,0,0,0,0,0,30,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,20,0,10,10,0,10,50,10,30,0,0,10,0,0,0,0,40,10,0,0,0,70,0,0,0,0,10,170,320,0,10,0,10,0,0,0,10,20,130,0,0,40,0,0,0,90,0,0,0,1300,0,90,70,10,100,10,0,30,10,0,30,40,0,0,40,260,0,600,60,0,10,0,0,0,30,10,10,270,70,0,50,10,0,0,0,140,70,0,0,20,0,0,0,0,0,0,120,0,0,50,0,0,0,0,10,0,0,20,0,10,0,0,20,10,0,0,0,0,0,0,0,0,0,20,0,0,10,0,810,430,0,0,0,0,0,0,0,0,0,0,10
00AK,Enfield,5620,20,20,30,10,120,120,60,110,0,110,50,80,30,40,0,10,70,150,60,40,190,1380,10,0,120,70,60,10,10,0,10,20,0,0,0,0,0,380,70,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,30,0,10,0,0,0,0,10,0,0,200,0,20,0,0,0,0,0,0,10,180,10,0,0,0,240,0,0,0,0,10,90,100,0,10,0,0,0,0,20,10,30,10,0,0,150,0,0,0,40,0,0,0,200,0,40,10,0,10,0,0,0,0,0,0,10,0,0,0,10,0,80,40,0,0,0,0,0,0,0,10,80,0,0,10,0,0,0,0,40,20,0,0,0,0,0,0,0,0,0,40,0,0,10,0,0,0,0,10,0,0,0,0,10,0,0,50,0,0,0,0,0,0,0,10,0,0,20,0,0,0,0,80,20,0,0,0,0,0,0,0,0,0,0,0
