Code,Area,Total,Austria,Belgium,Denmark,Finland,France,Germany,Greece,Italy,Luxembourg,Netherlands,Portugal,Rep of Ireland,Spain,Sweden,French Overseas Depts,Rep of Estonia,Czech Rep,Slovak Rep,Hungary,Rep of Latvia,Rep of Lithuania,Poland,Rep of Slovenia,Malta,Cyprus,Bulgaria,Romania,Switzerland,Norway,Iceland,Ukraine,Russian Federation,Rep of Armenia,Rep of Belarus,Rep of Moldova,Rep of Azerbaijan,Rep of Georgia,Turkey,Albania,Rep of Croatia,Rep of Bosnia-Herzegovina,Former Yug Rep of Macedonia,Serbia and Montenegro,Andorra,Monaco,Liechtenstein,Faroe Islands,Algeria,Angola,Benin,Bissau ..-Guinea-..,Botswana,Burkina Faso,Burundi,Cameroon,Cape Verde Islands,Central African Rep,Chad,Comoro Islands,Congo,Cote D Ivoire,Democratic Rep of Congo,Djibouti,Egypt,Equatorial Guinea,Eritrea,Ethiopia,Gabon,Gambia,Ghana,Guinea,Kenya,Lesotho,Liberia,Libya,Malagasy Rep,Malawi,Mali,Mauritania,Mauritius,Morocco,Mozambique,Namibia,Niger,Nigeria,Principe and Sao Tome,Rwanda,Senegal,Seychelles,Sierra Leone,Somalia,South Africa,St Helena and Deps,Sudan,Swaziland,Tanzania,Togo,Tunisia,Uganda,Zambia,Zimbabwe,Afghanistan,Arab Emirates,Bahrain,Bangladesh,Bhutan,Brunei,Cambodia,China Peoples Rep,_Macau,_Hong Kong,East Timor,India,Indonesia,Iran,Iraq,Israel,Japan,Jordan,North Korea,South Korea,Kuwait,Laos,Lebanon,Malaysia,_Sabah,Mongolia,Union of Myanmar ..-Burma-..,Nepal,Oman,Pakistan,Philippines,Qatar,Rep of Kazakhstan,Rep of Kyrgyzstan,Rep of Tajikistan,Rep of Turkmenistan,Rep of Uzbekistan,Saudi Arabia,Singapore,Sri Lanka,Syria,Taiwan,Thailand,Vietnam,Rep of Yemen,Maldive Islands,British Indian Ocean Islands,USA,Canada,Anguilla,Antigua,Argentina,Bahamas,Barbados,Barbuda,Belize,Bermuda,Bolivia,Brazil,Cayman Islands,Chile,Colombia,Commonwealth of Dominica,Costa Rica,Cuba,Dominican Rep,Ecuador,El Salvador,Falkland Islands and Deps,Grenada,Guatemala,Guyana,Haiti,Honduras,Jamaica,Mexico,Montserrat,Nevis - St Kitts-Nevis,Nicaragua,Panama,Paraguay,Peru,St Lucia,St Vincent and Grenadines,Suriname,Trinidad and Tobago,Turks and Caicos Islands,Uruguay,Venezuala,Virgin Islands ..-British-..,Australia,New Zealand,Fiji,Samoa,American Samoa,Tonga,Cook Islands,Micronesia ..-Sub Region-..,Papua New Guinea,Pitcairn,Solomon Islands,Vanuatu,Others and Unknown
00AA,City of London,530,10,0,0,0,40,40,10,30,0,10,0,10,20,10,0,0,0,0,0,0,0,20,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,30,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,40,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,20,0,0,0,0,0,0,0,0,0,0,0
00AB,Barking and Dagenham,3160,20,20,0,0,80,50,10,10,0,60,60,30,10,10,0,10,30,20,10,40,420,250,10,0,10,10,10,0,0,0,10,10,0,0,0,0,0,10,30,10,0,0,0,0,0,0,0,10,10,0,0,10,0,0,10,0,0,0,0,10,0,10,0,0,0,0,0,0,10,160,0,20,0,0,0,0,10,0,0,40,0,0,0,0,520,0,0,0,0,20,40,40,0,0,0,20,0,0,10,20,70,10,0,0,70,0,0,0,20,0,0,0,240,0,10,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,290,20,0,0,0,0,0,0,0,0,30,0,0,10,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,20,10,0,0,0,0,0,0,0,0,0,0,0
00AC,Barnet,8850,20,20,40,10,190,150,50,160,0,90,130,130,80,60,0,30,280,610,260,50,250,1690,10,0,30,40,60,10,20,0,20,30,0,10,0,0,10,60,30,20,10,20,10,0,0,0,0,20,10,0,0,0,0,0,10,0,0,0,0,20,0,0,0,10,0,0,0,0,0,130,0,70,0,0,0,0,20,0,0,50,20,0,10,0,250,10,0,0,0,10,80,350,0,0,0,20,0,0,20,20,40,60,0,0,60,0,0,0,150,0,10,0,500,20,170,10,180,130,0,0,70,10,0,10,70,0,0,20,60,0,210,190,0,0,10,0,0,10,0,10,120,10,0,30,0,0,0,0,80,60,0,0,0,0,0,0,0,0,0,100,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,20,10,0,0,0,0,0,0,0,0,0,30,0,0,10,0,300,120,0,0,0,0,0,0,0,0,0,0,10
00AD,Bexley,1390,10,0,0,0,30,30,0,10,0,20,10,20,10,10,0,0,10,30,10,30,60,150,0,0,10,10,10,0,0,0,10,0,0,0,0,0,0,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,10,0,0,0,0,10,0,0,20,0,0,0,0,330,0,0,0,0,10,0,30,0,0,0,10,0,0,0,0,40,0,0,0,20,0,0,0,20,0,0,0,90,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,20,10,0,0,0,0,0,0,0,0,20,0,0,10,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,20,10,0,0,0,0,0,0,0,0,0,0,0
00AE,Brent,14990,20,30,60,30,350,230,40,390,0,210,310,220,210,110,0,40,130,330,300,100,320,2750,10,0,10,50,120,10,30,0,10,20,0,0,0,0,0,30,20,10,10,10,10,0,0,0,0,40,0,0,0,0,0,0,10,0,0,0,0,10,10,0,0,40,0,20,20,0,10,170,0,70,0,0,0,0,0,0,0,40,30,0,10,0,200,0,0,0,0,10,270,420,0,20,0,20,0,10,20,20,30,70,0,0,50,0,0,0,70,0,0,0,2920,10,70,50,20,50,0,0,40,10,0,30,50,0,0,30,200,0,480,160,0,10,0,0,0,10,0,10,340,20,0,10,0,0,0,0,90,80,0,0,0,0,10,0,0,0,10,510,0,0,70,0,0,0,0,0,0,0,10,0,10,0,0,130,10,0,0,0,0,0,10,10,0,0,30,0,0,10,0,720,420,0,0,0,0,0,0,0,0,0,0,30
00AF,Bromley,2120,10,10,10,0,50,50,0,60,0,30,20,40,30,10,0,10,30,60,50,20,80,310,0,0,10,10,10,0,10,0,10,10,0,0,0,0,0,30,20,10,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,30,0,10,0,0,0,0,0,0,0,10,0,0,0,0,70,0,0,0,0,10,10,120,0,0,0,0,0,0,10,10,40,0,0,0,50,0,0,0,20,0,0,0,180,0,10,0,0,10,0,0,10,0,0,0,10,0,0,0,10,0,20,60,0,0,0,0,0,10,0,0,20,0,0,10,10,0,0,0,40,30,0,0,0,0,0,0,0,0,0,30,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,90,30,0,0,0,0,0,0,0,0,0,0,0
00AG,Camden,7780,30,40,110,30,470,280,100,370,10,130,100,160,230,140,0,20,80,100,90,40,70,560,10,10,30,20,20,30,30,10,20,50,0,0,0,0,10,40,10,20,10,10,10,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,30,10,0,0,30,0,10,0,0,0,0,0,0,0,10,20,0,0,0,70,0,0,0,0,0,110,210,0,10,0,0,0,10,10,10,20,20,0,0,210,0,0,0,110,0,10,0,220,0,40,20,70,130,0,0,70,0,0,20,110,0,10,10,10,0,50,80,0,0,0,0,0,30,0,40,20,10,20,60,10,10,0,0,420,190,0,0,10,0,0,0,0,0,10,160,0,10,90,0,0,0,0,10,0,0,0,0,0,0,0,0,30,0,0,0,0,0,10,0,0,0,10,0,0,10,0,960,370,0,0,0,0,0,0,0,0,0,0,20
00AH,Croydon,5920,10,20,20,10,150,170,10,60,0,100,90,40,50,30,0,20,60,100,50,70,170,810,0,0,10,20,10,10,10,0,10,10,0,0,10,0,0,40,10,0,0,0,0,0,0,0,0,20,10,0,0,0,0,10,10,0,0,0,0,20,20,10,0,10,0,20,10,0,10,340,10,30,0,0,0,0,10,0,10,280,10,0,0,0,220,0,10,0,0,20,40,180,0,0,0,10,0,10,70,10,70,20,0,0,40,0,0,0,50,0,0,0,840,10,30,20,0,20,0,0,0,0,0,0,20,0,0,10,10,0,270,60,0,0,0,0,0,10,0,10,160,0,0,40,0,0,0,0,60,30,0,0,0,0,10,0,0,0,0,50,0,0,10,0,0,0,0,0,0,0,0,0,20,0,0,210,0,0,0,0,0,0,0,10,0,0,30,0,0,0,0,80,30,0,0,0,0,0,0,0,0,0,0,0
00AJ,Ealing,15190,30,30,70,30,310,220,50,160,0,210,140,220,120,110,0,40,140,230,150,120,450,5190,10,0,10,50,30,20,40,0,50,40,10,10,0,0,0,30,30,10,10,10,10,0,0,0,0,30,10,0,0,0,0,0,10,0,0,0,0,10,0,0,0,20,0,20,10,0,0,50,0,40,0,10,0,0,0,0,0,60,20,0,0,0,100,0,0,0,0,0,270,570,0,10,0,0,0,0,20,10,60,160,0,0,40,0,0,0,120,0,0,0,1370,0,110,60,10,100,10,0,40,10,0,50,50,0,0,50,100,0,630,80,0,10,0,0,10,40,10,10,270,60,0,50,20,10,0,0,110,90,0,0,20,0,10,0,0,0,10,110,0,0,50,10,0,0,10,0,0,0,20,0,10,0,0,40,10,0,0,0,0,0,0,0,0,0,30,0,0,10,0,900,480,0,0,0,0,0,0,0,0,0,0,20
00AK,Enfield,5050,10,20,30,10,90,90,50,80,0,100,50,50,30,50,0,0,80,150,40,30,200,900,10,0,130,30,30,0,10,0,10,10,0,0,0,10,0,370,30,10,0,10,10,0,0,0,0,10,10,0,0,0,0,0,10,0,0,0,0,30,0,10,0,0,0,10,0,0,10,260,0,20,0,0,0,0,0,0,10,260,10,0,0,0,260,0,0,0,0,10,120,100,0,10,0,10,0,0,40,10,40,10,0,0,130,0,0,0,30,0,0,0,210,0,40,10,0,10,0,0,0,0,0,0,10,0,0,0,10,0,80,40,0,0,0,0,0,0,0,0,80,0,0,10,10,0,0,0,30,20,0,0,0,0,0,0,0,0,0,20,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,60,0,0,0,0,0,0,0,0,10,0,20,0,0,10,0,70,20,0,0,0,0,0,0,0,0,0,0,10
