Code,Area,Total,Austria,Belgium,Denmark,Finland,France,Germany,Greece,Italy,Luxembourg,Netherlands,Portugal,Rep of Ireland,Spain,Sweden,French Overseas Depts,Rep of Estonia,Czech Rep,Slovak Rep,Hungary,Rep of Latvia,Rep of Lithuania,Poland,Rep of Slovenia,Malta,Cyprus,Bulgaria,Romania,Switzerland,Norway,Iceland,Ukraine,Russian Federation,Rep of Armenia,Rep of Belarus,Rep of Moldova,Rep of Azerbaijan,Rep of Georgia,Turkey,Albania,Rep of Croatia,Rep of Bosnia-Herzegovina,Former Yug Rep of Macedonia,Serbia and Montenegro,Andorra,Monaco,Liechtenstein,Faroe Islands,Algeria,Angola,Benin,Bissau ..-Guinea-..,Botswana,Burkina Faso,Burundi,Cameroon,Cape Verde Islands,Central African Rep,Chad,Comoro Islands,Congo,Cote D Ivoire,Democratic Rep of Congo,Djibouti,Egypt,Equatorial Guinea,Eritrea,Ethiopia,Gabon,Gambia,Ghana,Guinea,Kenya,Lesotho,Liberia,Libya,Malagasy Rep,Malawi,Mali,Mauritania,Mauritius,Morocco,Mozambique,Namibia,Niger,Nigeria,Principe and Sao Tome,Rwanda,Senegal,Seychelles,Sierra Leone,Somalia,South Africa,St Helena and Deps,Sudan,Swaziland,Tanzania,Togo,Tunisia,Uganda,Zambia,Zimbabwe,Afghanistan,Arab Emirates,Bahrain,Bangladesh,Bhutan,Brunei,Cambodia,China Peoples Rep,_Macau,_Hong Kong,East Timor,India,Indonesia,Iran,Iraq,Israel,Japan,Jordan,North Korea,South Korea,Kuwait,Laos,Lebanon,Malaysia,_Sabah,Mongolia,Union of Myanmar ..-Burma-..,Nepal,Oman,Pakistan,Philippines,Qatar,Rep of Kazakhstan,Rep of Kyrgyzstan,Rep of Tajikistan,Rep of Turkmenistan,Rep of Uzbekistan,Saudi Arabia,Singapore,Sri Lanka,Syria,Taiwan,Thailand,Vietnam,Rep of Yemen,Maldive Islands,British Indian Ocean Islands,USA,Canada,Anguilla,Antigua,Argentina,Bahamas,Barbados,Barbuda,Belize,Bermuda,Bolivia,Brazil,Cayman Islands,Chile,Colombia,Commonwealth of Dominica,Costa Rica,Cuba,Dominican Rep,Ecuador,El Salvador,Falkland Islands and Deps,Grenada,Guatemala,Guyana,Haiti,Honduras,Jamaica,Mexico,Montserrat,Nevis - St Kitts-Nevis,Nicaragua,Panama,Paraguay,Peru,St Lucia,St Vincent and Grenadines,Suriname,Trinidad and Tobago,Turks and Caicos Islands,Uruguay,Venezuala,Virgin Islands ..-British-..,Australia,New Zealand,Fiji,Samoa,American Samoa,Tonga,Cook Islands,Micronesia ..-Sub Region-..,Papua New Guinea,Pitcairn,Solomon Islands,Vanuatu,Others and Unknown
00AA,City of London,380,0,10,0,0,20,20,10,20,0,10,0,10,20,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,20,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,30,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,10,0,0,0,0,0,0,0,0,0,0,0
00AB,Barking and Dagenham,2530,10,10,10,10,50,60,10,10,0,50,60,20,10,0,0,0,10,20,0,10,230,110,30,0,10,40,20,0,10,0,0,0,0,0,0,0,0,10,20,10,10,10,20,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,20,0,10,0,0,0,0,0,0,10,150,0,20,0,0,0,0,10,0,0,20,0,0,0,0,390,0,0,0,0,10,40,30,0,0,0,20,0,0,20,10,60,10,0,0,30,0,0,0,20,0,0,0,120,0,10,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,320,10,0,0,0,0,0,0,0,0,40,0,0,10,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,20,10,0,0,0,0,0,0,0,0,0,0,10
00AC,Barnet,6820,20,30,30,0,120,120,50,130,0,60,110,120,90,40,0,10,190,360,140,30,150,890,20,10,20,140,130,20,10,0,10,20,0,10,0,0,0,90,20,20,10,20,10,0,0,0,0,30,10,0,0,0,0,0,0,0,0,0,0,20,0,0,0,10,0,10,10,0,0,110,0,60,0,0,0,0,10,0,0,30,10,0,10,0,190,0,0,0,0,10,70,320,0,0,0,20,0,0,20,20,30,70,0,0,40,0,0,0,160,0,0,0,410,10,140,10,170,120,0,0,60,0,0,10,100,0,0,10,30,0,190,130,0,0,0,0,0,0,0,10,100,0,10,30,0,0,0,0,90,40,0,0,10,0,0,0,0,0,0,60,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,20,10,0,0,0,0,0,0,0,0,0,10,0,0,10,0,230,120,0,0,0,0,0,0,0,0,0,0,10
00AD,Bexley,980,10,0,0,0,20,10,0,10,0,20,10,20,10,0,0,0,10,10,10,10,40,40,0,0,10,10,10,0,0,0,0,10,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,10,0,0,0,0,0,0,0,10,0,0,10,0,210,0,0,0,0,10,10,40,0,0,0,10,0,0,10,10,40,0,0,0,20,0,0,0,10,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,20,0,0,10,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0
00AE,Brent,12610,30,30,50,20,290,160,30,330,0,210,320,210,200,90,0,30,120,290,160,60,330,1850,20,0,10,220,340,20,20,0,30,20,0,10,10,0,10,30,20,10,10,10,20,0,0,0,0,70,10,0,0,0,0,0,10,0,0,0,0,10,10,0,0,20,0,20,10,0,10,190,0,80,0,0,0,0,0,0,0,30,30,0,10,0,150,0,0,0,0,10,230,360,0,20,0,10,0,10,20,10,30,90,0,0,30,0,0,0,70,0,0,0,1870,10,60,40,10,40,10,0,30,0,0,30,60,0,10,30,80,0,540,140,0,0,10,0,0,20,0,10,450,20,0,30,0,10,0,0,70,60,0,0,10,0,10,0,0,0,10,490,0,0,60,0,0,0,10,10,0,0,10,0,0,0,0,210,0,0,0,0,0,0,0,20,0,0,40,0,0,20,0,510,300,0,0,0,0,0,0,0,0,0,0,30
00AF,Bromley,1480,0,0,10,10,40,30,10,40,0,20,20,30,20,10,0,0,10,30,10,10,50,140,10,0,10,10,20,0,0,0,10,10,0,0,0,0,0,20,10,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,10,0,0,0,0,50,0,0,0,0,10,10,110,0,0,0,0,0,0,10,0,30,0,0,0,20,0,0,0,20,0,0,0,90,0,10,0,0,10,0,0,0,0,0,0,20,0,0,0,0,0,20,50,0,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,30,20,0,0,0,0,0,0,0,0,0,30,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,40,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,60,30,0,0,0,0,0,0,0,0,0,0,10
00AG,Camden,5940,20,20,70,30,300,260,100,260,0,100,90,140,220,100,0,10,70,110,50,20,40,400,20,0,20,30,20,20,30,0,20,30,0,10,10,0,10,40,10,10,10,10,10,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,20,10,0,0,30,0,10,0,0,0,0,0,0,0,10,10,0,0,0,50,0,0,0,0,0,110,160,0,10,0,0,0,10,10,0,10,10,0,0,150,0,0,0,70,0,10,0,190,0,30,10,70,110,0,0,40,0,0,20,70,0,10,10,10,0,60,80,0,0,10,0,0,20,0,30,20,10,20,30,0,0,0,0,350,120,0,0,20,0,0,0,0,0,10,100,0,10,50,0,0,10,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,10,0,0,10,0,600,280,0,0,0,0,0,0,0,0,0,0,10
00AH,Croydon,3770,10,10,10,0,80,90,10,40,0,70,60,30,10,20,0,10,40,50,30,20,70,220,10,10,10,60,20,0,10,0,10,10,0,0,0,0,0,50,10,10,0,10,0,0,0,0,0,20,10,0,0,0,0,10,10,0,0,0,0,20,20,10,0,10,0,10,0,0,0,300,10,20,0,0,10,0,10,0,10,160,10,0,0,0,150,0,10,0,0,20,40,130,0,0,0,0,0,0,70,0,70,20,0,0,20,0,0,0,30,0,0,0,460,0,10,20,0,10,0,0,0,0,0,0,20,0,0,0,0,0,240,40,0,0,0,0,0,10,0,0,120,0,0,20,10,0,0,0,40,20,0,0,0,0,10,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,190,0,0,0,0,0,0,10,0,0,0,20,0,0,0,0,70,20,0,0,0,0,0,0,0,0,0,0,10
00AJ,Ealing,10700,20,20,60,20,270,170,50,140,0,160,100,210,110,60,0,30,80,150,110,60,340,2710,20,0,10,180,50,10,20,0,40,40,10,10,0,0,0,30,10,10,10,10,20,0,0,0,0,30,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,20,0,10,10,0,0,70,0,30,0,0,10,0,10,0,0,50,10,0,0,0,90,0,0,0,10,0,190,420,0,10,0,10,0,0,20,20,60,120,0,0,30,0,0,0,140,0,0,0,990,10,110,40,0,80,10,0,50,0,0,30,60,0,0,30,50,0,600,50,0,0,10,0,0,20,10,0,320,40,0,50,10,10,0,0,80,70,0,0,10,0,0,0,0,0,0,80,0,0,40,0,0,0,0,0,0,0,10,0,10,0,0,60,10,0,0,0,0,0,0,0,0,0,30,0,0,10,0,530,360,0,0,0,0,0,0,0,0,0,0,10
00AK,Enfield,4280,10,20,20,10,50,40,50,50,0,100,50,70,30,20,0,0,50,90,20,10,100,370,40,0,100,80,80,0,10,0,10,10,0,0,0,10,0,490,20,20,10,10,30,0,0,0,0,20,10,0,0,0,0,10,10,0,0,0,0,30,10,20,0,0,0,10,10,0,0,240,0,20,0,0,0,0,10,0,20,210,10,0,0,0,160,0,0,0,0,10,130,90,0,0,0,0,0,0,40,10,60,10,0,0,90,0,0,0,50,0,0,0,150,0,80,10,0,10,0,0,0,0,0,10,30,0,0,0,0,0,90,40,0,0,0,0,0,0,0,0,90,0,0,10,10,0,0,0,20,20,0,0,0,0,0,0,0,0,0,10,0,0,20,0,0,0,10,10,0,0,0,0,10,0,0,90,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,50,20,0,0,0,0,0,0,0,0,0,0,20
