Code,Area,Total,Austria,Belgium,Denmark,Finland,France,Germany,Greece,Italy,Luxembourg,Netherlands,Portugal,Rep of Ireland,Spain,Sweden,French Overseas Depts,Rep of Estonia (Joined EU in 2004),Czech Rep (Joined EU in 2004),Slovak Rep (Joined EU in 2004),Hungary (Joined EU in 2004),Rep of Latvia (Joined EU in 2004),Rep of Lithuania (Joined EU in 2004),Poland (Joined EU in 2004),Rep of Slovenia (Joined EU in 2004),Malta (Joined EU in 2004),Cyprus (Joined EU in 2004),Bulgaria (Joined EU in 2007),Romania (Joined EU in 2007),Switzerland,Norway,Iceland,Ukraine,Russian Federation,Rep of Armenia,Rep of Belarus,Rep of Moldova,Rep of Azerbaijan,Rep of Georgia,Turkey,Albania,Rep of Croatia (Joined EU July 2013),Rep of Bosnia-Herzegovina,Former Yug Rep of Macedonia,Serbia & Montenegro,Andorra,Monaco,San Marino,Vatican City State,Liechtenstein,Gibraltar,Channel Islands (Grouped),Faroe Islands,Algeria,Angola,Benin,Bissau (Guinea),Botswana,Burkina Faso,Burundi,Cameroon,Cape Verde Islands,Central African Rep,Chad,Comoro Islands,Congo,Cote D'Ivoire,Democratic Rep of Congo,Djibouti,Egypt,Equatorial Guinea,Eritrea,Ethiopia,Gabon,Gambia,Ghana,Guinea,Kenya,Lesotho,Liberia,Libya,Malagasy Rep,Malawi,Mali,Mauritania,Mauritius,Mayotte,Morocco,Mozambique,Namibia,Niger,Nigeria,Principe & Sao Tome,Rwanda,Senegal,Seychelles,Sierra Leone,Somalia,South Africa,St Helena & Deps,Sudan (Contains South Sudan),Swaziland,Tanzania,Togo,Tunisia,Uganda,Western Sahara,Zambia,Zimbabwe,Afghanistan,Arab Emirates,_Sharjah,Bahrain,Bangladesh,Bhutan,Brunei,Cambodia,China Peoples Rep,_Macau,_Hong Kong,East Timor,India,Indonesia,Iran,Iraq,Israel,Japan,Jordan,North Korea,South Korea,Kuwait,Laos,Lebanon,Malaysia,_Sabah,_Sarawak,Mongolia,Union of Myanmar (Burma),Nepal,Oman,Pakistan,Philippines,Qatar,Rep of Kazakhstan,Rep of Kyrgyzstan,Rep of Tajikistan,Rep of Turkmenistan,Rep of Uzbekistan,Saudi Arabia,Singapore,Sri Lanka,Syria,Taiwan,Thailand,Vietnam,Rep of Yemen,Maldive Islands,Cocos (Keeling) Islands,Christmas Island,British Indian Ocean Islands,USA,Canada,Greenland,Anguilla,Antigua,Antilles (Netherlands),Argentina,Aruba,Bahamas,Barbados,Barbuda,Belize,Bermuda,Bolivia,Brazil,Cayman Islands,Chile,Colombia,Commonwealth of Dominica,Costa Rica,Cuba,Dominican Rep,Ecuador,El Salvador,Falkland Islands & Deps,Grenada,Guatemala,Guyana,Haiti,Honduras,Jamaica,Mexico,Montserrat,Nevis,Nicaragua,Panama,Paraguay,Peru,Puerto Rico,South Georgia & South Sandwich Island,St Lucia,St Martins,St Pierre & Miquelon,St Vincent & Grenadines,Suriname,Trinidad & Tobago,Turks & Caicos Islands,Uruguay,US Minor Outlying Islands,Venezuala,Virgin Islands (British),Virgin Islands (USA),Australia,New Zealand,Fiji,Samoa,American Samoa,Tonga,Antarctic Territories (British),Bouvet Island,Cook Islands,French Polynesia (inc. Tahiti),French Southern Territories,Heard Island & McDonald Islands,Micronesia (Sub Region),New Caledonia,Niue,Norfolk Island,Papua New Guinea,Pitcairn,Solomon Islands,Tokelau,Tuvalu,Vanuatu,Wallis & Futuna,Others & Unknown
E09000027,Richmond upon Thames,"1,875",9,17,12,10,93,99,35,122,0,28,59,149,134,48,0,5,14,18,95,14,20,159,0,0,0,19,29,14,5,0,0,23,0,0,0,5,0,10,12,0,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,33,0,0,0,41,0,28,7,5,10,0,0,7,0,0,0,6,0,0,0,0,5,0,12,16,0,0,0,0,0,0,0,0,11,5,0,13,5,0,0,0,0,0,124,35,0,0,0,0,10,0,0,0,0,0,0,0,14,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,108,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
E09000028,Southwark,"10,809",38,66,48,28,875,269,174,"1,226",8,205,500,302,"2,207",128,0,41,50,38,184,64,149,360,20,9,46,71,140,38,36,5,33,53,0,6,0,5,5,44,14,7,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,22,0,0,0,0,0,27,5,0,16,0,25,12,0,10,171,12,5,0,5,6,0,0,5,0,5,0,36,0,0,5,470,0,0,8,0,73,12,25,0,8,0,0,5,5,19,0,0,0,23,0,0,0,39,0,0,0,268,0,8,0,254,5,27,5,5,36,0,0,32,0,0,5,33,0,0,7,5,5,0,45,38,0,9,5,0,0,7,0,20,10,0,25,41,63,0,0,0,0,0,201,120,0,0,0,0,13,0,0,5,0,0,0,44,129,0,7,136,0,0,0,10,81,0,0,0,0,0,0,0,71,15,0,0,0,0,0,9,0,0,5,0,0,5,0,7,0,0,0,7,0,0,283,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
E09000029,Sutton,"1,265",0,5,7,0,26,23,19,59,0,24,83,34,52,7,0,9,12,8,64,17,48,171,0,0,8,61,48,6,0,0,9,9,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,13,0,0,0,0,7,5,17,0,0,0,0,0,0,5,0,0,10,7,0,0,0,14,0,0,0,15,0,0,0,73,0,11,5,0,0,0,0,19,0,0,0,0,0,0,0,0,10,0,54,8,0,0,0,0,0,0,0,0,45,0,0,8,0,0,0,0,0,0,12,7,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E09000030,Tower Hamlets,"14,796",56,80,77,56,"1,291",393,297,"2,765",6,139,400,348,"2,674",256,0,31,62,59,278,81,201,404,18,14,34,96,90,79,55,18,39,99,6,8,5,0,5,53,5,9,0,0,11,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,8,10,0,0,12,0,5,0,0,0,0,0,0,0,7,0,27,0,0,0,54,0,0,5,0,0,31,33,0,6,0,0,0,0,11,0,0,6,7,0,0,0,774,0,0,0,482,0,11,0,581,11,20,5,6,92,5,0,29,0,0,12,52,0,0,0,5,5,0,84,25,0,19,0,0,0,21,0,34,7,6,48,28,42,0,0,0,0,0,315,217,0,0,0,0,11,0,0,0,0,0,0,6,92,0,0,30,0,0,0,6,5,0,0,0,0,0,0,0,5,25,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,0,14,0,0,631,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E09000031,Waltham Forest,"10,484",18,30,15,6,422,124,91,865,0,75,318,136,1377,44,0,48,326,340,880,171,715,1139,6,0,23,393,930,17,9,0,56,13,0,0,18,0,9,55,23,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,6,0,0,0,0,0,0,0,9,0,0,0,12,0,7,0,0,5,90,0,5,0,0,0,0,0,0,0,24,0,17,0,0,0,87,0,0,5,0,0,19,20,0,0,0,6,0,0,10,0,0,9,44,0,0,0,76,0,0,0,96,0,0,0,114,0,14,0,0,16,0,0,5,0,0,0,7,0,0,0,6,6,0,458,13,0,0,0,0,5,0,0,0,74,0,7,9,6,0,0,0,0,0,22,46,0,0,0,0,0,0,0,0,0,0,0,0,50,0,6,8,0,0,0,0,8,0,0,0,0,0,0,0,41,8,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,146,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
E09000032,Wandsworth,"8,254",21,38,29,17,396,202,131,1041,6,101,287,432,1012,93,0,24,47,63,233,50,81,739,7,8,23,93,82,35,35,6,13,39,0,0,0,0,6,38,8,12,6,5,7,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,7,0,8,0,0,0,30,0,6,0,0,0,0,0,0,0,12,0,17,0,0,0,46,0,0,0,0,0,17,134,0,6,0,0,0,6,16,0,0,9,18,0,0,0,11,0,0,0,78,0,0,0,100,6,27,6,7,23,0,0,15,0,0,5,26,0,0,0,0,0,0,244,58,0,0,0,0,0,0,0,5,21,11,10,62,8,0,0,0,0,0,188,107,0,0,0,0,15,0,0,0,0,0,0,0,62,0,5,50,0,0,5,6,10,0,0,6,0,6,0,0,20,17,0,0,0,0,0,5,0,0,0,0,0,0,0,12,0,0,0,10,0,0,729,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E09000033,Westminster,"10,749",61,75,94,48,"1,190",345,375,"1,329",5,210,333,190,"1,486",333,0,26,34,36,160,55,62,208,11,5,46,51,94,93,45,8,41,151,6,12,0,5,9,46,13,16,6,0,14,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,5,0,0,0,0,9,0,0,0,69,0,14,5,0,0,19,0,8,0,0,8,0,0,0,0,6,0,57,0,0,0,36,0,0,0,0,0,10,39,0,23,0,0,0,14,7,0,0,0,11,0,0,6,34,0,0,0,194,0,5,0,253,15,72,26,36,107,9,0,39,20,0,33,59,0,0,0,0,8,0,68,71,0,27,0,0,0,6,10,36,14,33,27,43,16,12,0,0,0,0,657,186,0,0,0,0,23,0,0,0,0,0,0,0,132,0,11,27,0,0,0,5,9,0,0,0,0,0,0,6,7,19,0,0,0,0,0,9,0,0,6,0,0,0,0,0,0,5,0,0,0,0,536,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
E12000001,North East,"8,020",14,31,22,13,176,168,178,200,0,72,156,198,377,41,0,11,292,163,98,95,259,1174,5,5,21,61,170,12,18,0,20,34,0,0,0,12,5,47,7,0,0,0,5,0,0,0,0,0,0,0,0,13,5,0,0,0,0,0,5,0,0,0,0,11,14,11,0,25,0,58,6,0,6,20,0,10,0,0,51,0,0,0,0,10,0,14,0,0,0,369,0,0,0,0,9,15,36,0,46,0,7,0,7,13,0,0,46,47,0,0,0,153,0,0,0,558,0,9,0,624,45,173,53,5,32,6,0,12,25,0,0,175,0,0,0,6,20,0,315,59,0,10,0,0,0,0,7,14,54,59,15,64,84,6,0,0,0,0,151,70,0,0,0,0,0,0,0,0,0,0,0,0,15,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,6,0,0,96,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
E12000002,North West,"37,524",63,129,62,66,809,516,518,1214,0,338,1312,1058,"2,896",160,0,96,1205,"1,281","2,049",912,"1,168","7,282",13,53,112,359,626,60,73,6,39,87,0,18,0,6,17,129,25,11,0,0,5,0,0,0,0,0,0,0,0,36,13,0,0,5,0,7,66,0,0,0,0,49,10,96,0,95,0,173,112,0,42,160,9,45,0,7,83,0,18,5,7,23,0,61,0,0,0,1005,0,13,16,0,12,92,126,0,160,0,19,0,36,39,0,14,108,145,0,0,16,329,45,7,6,1173,0,21,9,1855,39,527,158,31,63,32,0,40,72,0,15,242,0,0,8,16,60,7,2586,127,0,15,0,0,0,10,14,36,237,211,41,174,67,30,0,0,0,0,347,209,0,0,0,0,25,0,0,5,0,0,10,0,69,0,25,31,0,5,10,9,10,0,0,6,5,10,0,0,52,57,0,0,0,0,0,17,0,0,0,0,0,0,0,11,0,6,0,19,0,0,401,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
E12000003,Yorkshire and the Humber,"30,559",29,85,55,45,421,371,356,595,0,183,688,347,1213,79,0,69,990,"1,667",1014,"1,330","1,693","8,283",8,12,68,200,385,38,43,9,29,63,0,5,10,8,0,75,29,5,7,0,9,0,0,0,0,0,0,0,0,36,10,0,6,30,0,5,33,0,0,0,0,61,12,36,0,49,0,187,74,0,77,181,11,45,0,7,59,0,29,0,0,16,0,43,0,0,0,626,0,8,14,0,13,52,61,0,146,0,14,5,18,38,0,12,146,94,0,0,0,183,59,9,0,963,0,16,0,1430,47,438,169,10,38,23,0,43,25,0,13,232,0,0,0,10,216,7,1944,107,0,15,0,0,0,0,20,24,106,148,36,151,112,39,0,0,0,0,307,182,0,0,0,0,12,0,5,6,0,0,0,0,48,0,18,15,0,5,0,5,0,0,0,0,0,6,0,5,52,44,0,0,0,0,0,6,0,0,6,0,0,0,0,19,0,0,0,6,0,0,273,102,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
