Code,Area,Total,Austria,Belgium,Denmark,Finland,France,Germany,Greece,Italy,Luxembourg,Netherlands,Portugal,Rep of Ireland,Spain,Sweden,French Overseas Depts,Rep of Estonia ,Czech Rep ,Slovak Rep ,Hungary ,Rep of Latvia ,Rep of Lithuania ,Poland ,Rep of Slovenia ,Malta ,Cyprus ,Bulgaria ,Romania ,Switzerland ,Norway ,Iceland ,Ukraine ,Russian Federation ,Rep of Armenia ,Rep of Belarus ,Rep of Moldova ,Rep of Azerbaijan ,Rep of Georgia ,Turkey ,Albania ,Rep of Croatia ,Rep of Bosnia-Herzegovina ,Former Yug Rep of Macedonia,Serbia & Montenegro ,Andorra ,Monaco ,Liechtenstein ,Faroe Islands ,Algeria ,Angola ,Benin ,Bissau (Guinea) ,Botswana ,Burkina Faso ,Burundi ,Cameroon ,Cape Verde Islands ,Central African Rep,Chad ,Comoro Islands ,Congo ,Cote D'Ivoire ,Democratic Rep of Congo,Djibouti ,Egypt ,Equatorial Guinea ,Eritrea ,Ethiopia ,Gabon ,Gambia ,Ghana ,Guinea ,Kenya ,Lesotho ,Liberia ,Libya ,Malagasy Rep ,Malawi ,Mali ,Mauritania ,Mauritius ,Morocco ,Mozambique ,Namibia ,Niger ,Nigeria ,Principe & Sao Tome,Rwanda ,Senegal ,Seychelles ,Sierra Leone ,Somalia ,South Africa ,St Helena & Deps ,Sudan ,Swaziland ,Tanzania ,Togo ,Tunisia ,Uganda ,Zambia ,Zimbabwe ,Afghanistan ,Arab Emirates ,Bahrain ,Bangladesh ,Bhutan ,Brunei ,Cambodia ,China Peoples Rep,_Macau ,_Hong Kong ,East Timor ,India ,Indonesia ,Iran ,Iraq ,Israel ,Japan ,Jordan ,North Korea ,South Korea ,Kuwait ,Laos ,Lebanon ,Malaysia ,_Sabah ,Mongolia ,Union of Myanmar (Burma),Nepal ,Oman ,Pakistan ,Philippines ,Qatar ,Rep of Kazakhstan ,Rep of Kyrgyzstan ,Rep of Tajikistan ,Rep of Turkmenistan ,Rep of Uzbekistan ,Saudi Arabia ,Singapore ,Sri Lanka ,Syria ,Taiwan ,Thailand ,Vietnam ,Rep of Yemen ,Maldive Islands ,British Indian Ocean Islands,USA ,Canada ,Anguilla ,Antigua ,Argentina ,Bahamas ,Barbados ,Barbuda ,Belize ,Bermuda ,Bolivia ,Brazil ,Cayman Islands ,Chile ,Colombia ,Commonwealth of Dominica,Costa Rica ,Cuba ,Dominican Rep ,Ecuador ,El Salvador ,Falkland Islands & Deps,Grenada ,Guatemala ,Guyana ,Haiti ,Honduras ,Jamaica ,Mexico ,Montserrat ,"Nevis, St Kitts-Nevis ",Nicaragua ,Panama ,Paraguay ,Peru ,St Lucia ,St Vincent & Grenadines ,Suriname ,Trinidad & Tobago ,Turks & Caicos Islands,Uruguay ,Venezuala ,Virgin Islands (British),Australia ,New Zealand ,Fiji ,Samoa ,American Samoa ,Tonga ,Cook Islands ,Micronesia (Sub Region),Papua New Guinea ,Pitcairn ,Solomon Islands ,Vanuatu ,Others & Unknown 
E09000001,City of London,800,10,10,10,10,80,50,10,50,0,20,10,20,90,0,0,0,0,0,10,0,10,10,0,0,0,10,0,10,0,0,0,20,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,70,0,0,0,0,20,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,90,40,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,20,0,0,0,0,0,0,0,0,0,0,0
E09000002,Barking and Dagenham,"4,690",10,20,0,0,100,50,10,80,0,70,170,50,40,10,0,10,10,10,40,60,800,150,0,0,0,160,340,0,0,0,10,10,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,20,0,0,0,0,10,0,10,0,10,0,0,0,0,10,120,0,10,0,0,0,0,0,0,0,10,0,0,0,0,480,0,0,0,0,10,20,10,0,0,0,10,0,0,20,10,20,20,0,0,140,0,0,0,20,0,0,0,340,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,20,0,850,10,0,0,0,0,0,0,0,0,40,0,0,10,0,0,0,0,10,20,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,0,0,0,0,0,0,0,0,0,0,0
E09000003,Barnet,"8,820",20,50,20,10,260,140,100,400,0,80,240,280,310,90,0,30,100,180,580,70,250,760,0,10,40,220,"1,090",20,30,0,30,40,0,0,10,0,0,70,30,0,0,0,10,0,0,0,0,40,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,20,0,0,0,0,0,60,0,40,0,0,0,0,10,0,0,10,20,0,0,0,260,0,0,0,0,0,30,40,0,0,0,10,0,0,10,10,10,100,0,10,30,0,0,0,150,0,0,0,420,10,290,20,90,120,10,0,30,20,0,0,40,0,0,10,90,0,230,130,0,10,10,0,0,0,10,10,110,10,20,30,20,0,0,0,100,70,0,0,10,0,0,0,0,0,0,70,0,0,30,0,0,0,0,10,0,0,0,0,0,0,0,20,10,0,0,0,0,0,0,0,0,0,10,0,0,10,0,160,50,0,0,0,0,0,0,0,0,0,0,20
E09000004,Bexley,"1,530",10,10,0,0,50,30,10,30,0,40,50,30,40,10,0,10,10,10,20,40,120,170,0,0,10,40,40,0,10,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,10,0,0,0,0,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,20,0,0,0,20,0,0,0,20,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,20,10,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0
E09000005,Brent,"15,170",20,40,40,20,640,190,90,"1,140",0,150,990,420,890,160,0,10,60,70,760,90,260,"1,090",10,10,10,180,"1,590",30,40,0,30,30,0,0,10,0,0,30,20,0,0,0,10,0,0,0,0,80,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,70,0,10,10,0,0,80,0,30,0,0,0,0,0,0,0,0,40,0,0,0,110,0,0,10,0,10,130,30,0,20,0,10,0,10,20,0,10,140,0,0,30,0,0,0,70,0,0,0,"1,820",10,100,40,10,50,10,0,10,60,0,30,20,0,0,10,270,0,720,220,0,10,0,0,0,10,0,0,390,20,0,10,10,0,0,0,90,90,0,0,10,0,0,0,0,0,0,330,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,100,10,0,0,0,0,0,0,0,0,0,10,0,0,10,0,350,160,0,0,0,0,0,0,0,0,0,0,40
E09000006,Bromley,"1,820",0,10,0,0,70,40,20,90,0,30,40,60,70,20,0,0,20,10,70,30,110,130,0,0,20,60,80,0,0,0,10,20,0,0,0,0,0,30,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,20,0,10,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,10,0,20,0,0,0,0,0,0,10,0,10,10,0,0,20,0,0,0,30,0,0,0,110,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,30,20,0,0,0,0,0,0,0,0,50,0,0,10,0,0,0,0,30,20,0,0,0,0,0,0,0,0,0,30,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,30,0,0,0,0,0,0,0,0,0,0,0
E09000007,Camden,"8,520",40,60,170,30,820,350,200,940,10,110,180,250,760,230,0,20,50,40,110,50,60,170,10,10,40,50,90,70,40,10,10,80,0,10,10,0,0,50,10,10,0,10,20,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,30,0,20,0,0,0,20,0,10,0,0,0,0,0,0,0,10,20,0,0,0,30,0,0,0,0,0,40,50,0,10,0,0,0,0,10,0,0,10,0,0,110,0,0,0,220,0,10,0,210,10,50,10,60,140,10,0,70,0,0,20,80,0,0,10,20,0,70,70,0,10,0,0,0,0,0,40,20,0,40,40,10,0,0,0,460,200,0,0,10,0,0,0,0,0,0,70,0,20,70,0,0,0,0,0,0,0,0,0,0,0,0,10,20,0,0,0,0,0,10,0,0,0,0,0,0,10,0,570,160,0,0,0,0,0,0,0,0,0,0,10
E09000008,Croydon,"6,030",10,40,10,0,180,110,30,160,0,80,250,90,190,20,0,20,50,50,230,40,180,600,0,0,10,100,220,10,10,0,10,10,0,0,0,0,0,30,20,0,0,0,0,0,0,0,0,20,10,0,0,0,0,0,10,0,0,0,0,10,10,0,0,0,0,10,0,0,10,250,10,10,0,0,0,0,0,0,0,20,20,0,0,0,190,0,0,0,0,10,10,30,0,10,0,10,0,0,40,0,20,40,0,0,40,0,0,0,60,0,0,0,950,0,20,20,0,10,0,0,10,0,0,0,10,0,0,0,20,0,650,20,0,0,0,0,0,0,0,0,200,0,0,20,10,0,0,0,40,20,0,0,0,0,0,0,0,0,10,40,0,0,20,0,0,0,0,0,0,0,0,0,10,0,0,230,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,50,30,0,0,0,0,0,0,0,0,0,0,0
E09000009,Ealing,"12,360",30,30,30,10,350,210,130,440,0,100,500,370,370,130,0,40,40,50,370,120,260,"2,040",10,0,10,180,260,30,40,0,50,50,0,0,0,0,10,20,20,0,0,10,10,0,0,0,0,50,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,40,0,10,10,0,0,30,0,20,0,0,10,0,0,0,0,10,20,0,0,0,50,0,0,0,0,0,90,40,0,10,0,0,0,0,10,0,10,180,0,0,70,0,0,0,90,0,0,0,"2,150",10,110,50,10,80,10,0,20,10,0,20,30,0,10,10,250,0,940,50,0,0,0,0,0,0,0,0,330,30,10,60,10,0,0,0,90,80,0,0,10,0,0,0,0,0,0,60,0,0,50,0,0,0,0,10,0,0,0,0,10,0,0,40,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,230,0,0,0,0,0,0,0,0,0,0,30
E09000010,Enfield,"5,190",10,40,10,10,120,70,100,200,0,70,80,120,120,30,0,10,60,40,360,40,170,670,0,0,140,400,410,10,10,0,10,10,0,0,0,10,0,290,50,0,0,10,10,0,0,0,0,20,0,0,0,0,0,0,20,0,0,0,0,10,10,10,0,10,0,10,10,0,0,170,0,10,0,0,0,0,0,0,0,40,10,0,0,0,150,0,0,0,0,10,70,20,0,0,0,0,0,0,20,0,20,30,0,0,100,0,0,0,50,0,0,0,90,0,70,10,0,10,0,0,0,0,0,0,10,0,0,0,10,0,80,20,0,0,0,0,0,0,0,10,70,10,0,0,10,0,0,0,30,20,0,0,0,0,0,0,0,0,0,30,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,30,10,0,0,0,0,0,0,0,0,0,0,10
