Code,Area,Total,Austria,Belgium,Denmark,Finland,France,Germany,Greece,Italy,Luxembourg,Netherlands,Portugal,Rep of Ireland,Spain,Sweden,French Overseas Depts,Rep of Estonia ,Czech Rep ,Slovak Rep ,Hungary ,Rep of Latvia ,Rep of Lithuania ,Poland ,Rep of Slovenia ,Malta ,Cyprus ,Bulgaria ,Romania ,Switzerland ,Norway ,Iceland ,Ukraine ,Russian Federation ,Rep of Armenia ,Rep of Belarus ,Rep of Moldova ,Rep of Azerbaijan ,Rep of Georgia ,Turkey ,Albania ,Rep of Croatia ,Rep of Bosnia-Herzegovina ,Former Yug Rep of Macedonia,Serbia & Montenegro ,Andorra ,Monaco ,Liechtenstein ,Faroe Islands ,Algeria ,Angola ,Benin ,Bissau (Guinea) ,Botswana ,Burkina Faso ,Burundi ,Cameroon ,Cape Verde Islands ,Central African Rep,Chad ,Comoro Islands ,Congo ,Cote D'Ivoire ,Democratic Rep of Congo,Djibouti ,Egypt ,Equatorial Guinea ,Eritrea ,Ethiopia ,Gabon ,Gambia ,Ghana ,Guinea ,Kenya ,Lesotho ,Liberia ,Libya ,Malagasy Rep ,Malawi ,Mali ,Mauritania ,Mauritius ,Morocco ,Mozambique ,Namibia ,Niger ,Nigeria ,Principe & Sao Tome,Rwanda ,Senegal ,Seychelles ,Sierra Leone ,Somalia ,South Africa ,St Helena & Deps ,Sudan ,Swaziland ,Tanzania ,Togo ,Tunisia ,Uganda ,Zambia ,Zimbabwe ,Afghanistan ,Arab Emirates ,Bahrain ,Bangladesh ,Bhutan ,Brunei ,Cambodia ,China Peoples Rep,_Macau ,_Hong Kong ,East Timor ,India ,Indonesia ,Iran ,Iraq ,Israel ,Japan ,Jordan ,North Korea ,South Korea ,Kuwait ,Laos ,Lebanon ,Malaysia ,_Sabah ,Mongolia ,Union of Myanmar (Burma),Nepal ,Oman ,Pakistan ,Philippines ,Qatar ,Rep of Kazakhstan ,Rep of Kyrgyzstan ,Rep of Tajikistan ,Rep of Turkmenistan ,Rep of Uzbekistan ,Saudi Arabia ,Singapore ,Sri Lanka ,Syria ,Taiwan ,Thailand ,Vietnam ,Rep of Yemen ,Maldive Islands ,British Indian Ocean Islands,USA ,Canada ,Anguilla ,Antigua ,Argentina ,Bahamas ,Barbados ,Barbuda ,Belize ,Bermuda ,Bolivia ,Brazil ,Cayman Islands ,Chile ,Colombia ,Commonwealth of Dominica,Costa Rica ,Cuba ,Dominican Rep ,Ecuador ,El Salvador ,Falkland Islands & Deps,Grenada ,Guatemala ,Guyana ,Haiti ,Honduras ,Jamaica ,Mexico ,Montserrat ,"Nevis, St Kitts-Nevis ",Nicaragua ,Panama ,Paraguay ,Peru ,St Lucia ,St Vincent & Grenadines ,Suriname ,Trinidad & Tobago ,Turks & Caicos Islands,Uruguay ,Venezuala ,Virgin Islands (British),Australia ,New Zealand ,Fiji ,Samoa ,American Samoa ,Tonga ,Cook Islands ,Micronesia (Sub Region),Papua New Guinea ,Pitcairn ,Solomon Islands ,Vanuatu ,Others & Unknown 
E09000001,City of London,780,10,10,0,0,70,50,10,40,0,10,0,20,50,10,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,80,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,40,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,10,0,0,0,0,0,0,0,0,0,0,0
E09000002,Barking and Dagenham,6090,10,20,0,0,90,70,10,70,0,80,150,20,50,10,0,10,20,10,30,90,1120,200,0,0,0,150,260,0,0,0,20,10,0,0,0,0,0,20,20,0,0,0,20,0,0,0,0,10,20,0,0,0,0,10,20,0,0,0,0,30,0,30,0,10,0,0,10,0,10,150,10,40,0,0,0,0,0,0,0,10,0,0,0,0,700,0,10,0,0,10,60,10,0,0,0,20,0,0,30,0,40,10,0,0,260,0,0,0,20,0,0,0,640,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,970,70,0,0,0,0,0,0,0,0,110,0,0,10,0,0,0,0,20,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
E09000003,Barnet,10490,20,60,20,20,280,180,60,360,0,90,190,280,250,90,0,30,110,220,530,110,340,870,10,10,30,270,970,20,30,0,30,60,0,10,10,10,10,130,40,10,0,10,30,0,0,0,0,50,10,0,0,0,0,0,10,0,0,0,0,10,10,10,0,20,0,10,10,0,0,80,0,50,0,10,0,0,0,0,0,10,30,0,0,0,330,0,0,10,0,10,50,70,0,10,0,10,0,10,10,10,20,160,0,0,50,0,0,0,170,0,0,0,700,20,380,20,110,130,0,0,50,20,0,10,40,0,0,30,150,0,270,350,0,10,0,0,0,20,0,0,320,10,20,30,10,0,0,0,100,70,0,0,10,0,0,0,0,0,0,110,0,0,70,0,0,0,0,10,0,0,0,0,0,0,0,20,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,200,60,0,0,0,0,0,0,0,0,0,0,20
E09000004,Bexley,2040,0,10,0,0,60,30,10,30,0,50,60,40,30,10,0,10,10,20,10,80,130,170,0,0,0,40,40,0,0,0,0,10,0,0,0,0,0,30,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,10,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390,0,0,0,0,10,0,10,0,0,0,0,0,0,10,0,40,10,0,0,30,0,0,0,20,0,0,0,170,0,10,10,0,10,0,0,0,0,0,0,0,0,0,0,50,0,30,10,0,0,0,0,0,0,0,0,90,0,0,10,10,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,0,0,0,0,0,0,0,0,0,0,0
E09000005,Brent,18700,20,40,60,40,610,220,60,1020,0,190,750,390,730,260,0,30,50,90,520,150,400,1250,10,0,10,170,1420,30,40,10,30,40,0,0,10,0,0,40,20,10,0,10,20,0,0,0,0,80,10,0,0,0,0,0,30,0,0,0,0,20,0,10,0,60,0,50,30,0,10,120,0,30,0,10,0,0,0,0,0,10,40,0,0,0,130,0,0,10,0,10,220,30,0,30,0,10,0,0,20,10,20,160,0,0,40,0,0,0,110,0,0,0,3680,20,140,90,10,50,10,0,10,40,0,40,20,0,10,40,500,0,810,430,0,0,0,0,10,10,0,10,1050,20,0,30,10,0,0,0,80,80,0,0,20,0,0,0,0,0,0,480,0,10,130,0,0,10,10,10,0,0,0,0,0,0,0,140,10,0,0,0,0,0,0,10,0,0,10,0,0,0,0,390,150,0,0,0,0,0,0,0,0,0,0,70
E09000006,Bromley,2320,0,10,10,10,60,60,10,100,0,20,30,60,50,10,0,20,10,20,60,60,160,170,0,10,10,70,90,0,0,0,10,20,0,0,0,0,0,40,10,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,10,0,0,0,0,100,0,0,0,0,10,10,30,0,0,0,0,0,0,0,0,20,10,0,0,40,0,0,0,50,0,0,0,160,0,20,30,0,10,0,0,0,0,0,0,10,0,0,0,10,0,40,30,0,0,0,0,0,0,0,0,100,0,0,20,10,0,0,0,50,20,0,0,0,0,0,0,0,0,0,30,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,30,0,0,0,0,0,0,0,0,0,0,0
E09000007,Camden,9500,40,50,170,40,800,360,150,900,0,100,160,300,750,230,0,20,60,60,100,70,70,220,10,10,40,60,100,50,30,20,20,80,10,0,10,0,10,80,10,0,0,10,30,0,0,0,0,30,0,0,0,0,0,0,10,0,0,0,0,30,0,10,0,20,0,30,30,0,0,10,0,20,0,0,10,0,0,0,0,10,20,0,0,0,100,0,0,0,0,10,90,70,0,20,0,0,0,10,10,10,10,10,0,0,250,0,0,0,190,0,10,0,270,10,90,20,50,150,0,0,110,0,0,20,60,0,0,10,20,0,70,120,0,10,10,0,0,0,0,40,30,10,40,60,10,0,0,0,520,230,0,0,20,0,0,0,0,0,0,120,0,20,140,0,0,10,0,10,0,0,0,0,0,0,0,10,30,0,0,0,0,0,10,0,0,0,0,0,0,10,0,670,220,0,0,0,0,0,0,0,0,0,0,20
E09000008,Croydon,7810,10,40,10,10,180,160,10,200,0,110,170,80,140,30,0,30,50,50,250,70,230,600,0,0,10,120,210,0,10,10,20,20,0,0,0,0,0,60,20,0,0,10,0,0,0,0,0,20,10,0,0,0,0,0,20,0,0,0,0,10,10,10,0,10,0,20,10,0,0,280,20,10,0,10,0,0,0,0,0,30,20,0,0,0,280,0,10,0,0,20,30,40,0,10,0,0,0,0,60,10,60,70,0,0,60,0,0,0,70,0,0,0,1660,0,60,30,0,10,0,0,0,0,0,0,10,0,0,0,40,0,760,50,0,0,0,0,0,0,0,0,450,10,0,20,20,0,0,0,30,20,0,0,0,0,10,0,0,0,0,40,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,260,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,60,10,0,0,0,0,0,0,0,0,0,0,0
E09000009,Ealing,16530,20,30,40,30,380,210,50,390,0,150,420,380,300,140,0,30,40,70,330,190,390,2320,10,0,10,210,230,20,50,0,40,50,10,0,0,0,0,70,20,0,0,10,30,0,0,0,0,50,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,60,0,20,10,0,0,30,0,20,0,0,10,0,0,0,0,0,30,0,0,0,80,0,0,0,0,0,210,50,0,20,0,0,0,0,10,0,10,210,0,0,90,0,0,0,120,0,0,0,4130,10,180,90,10,100,10,0,30,10,0,30,20,0,0,20,480,0,1160,150,0,0,0,0,0,0,0,0,850,40,10,70,10,10,0,0,100,110,0,0,0,0,0,0,0,0,0,100,0,10,80,0,0,0,0,10,0,0,10,0,0,0,0,30,20,0,0,0,0,0,10,0,0,0,10,0,0,10,0,480,280,0,0,0,0,0,0,0,0,0,0,40
E09000010,Enfield,6770,10,30,10,10,130,80,60,210,0,70,80,110,100,30,0,20,80,60,310,70,310,710,0,0,170,470,360,10,10,0,10,20,10,0,0,0,0,560,50,10,0,10,30,0,0,0,0,30,0,0,0,0,0,10,30,0,0,0,0,60,0,40,0,10,0,10,20,0,10,200,0,30,0,0,0,0,0,0,10,60,20,0,0,0,230,0,10,0,0,10,120,20,0,10,0,0,0,0,30,10,50,30,0,0,190,0,0,0,60,0,0,0,200,0,140,20,0,10,0,0,0,0,0,10,10,0,0,0,10,0,110,50,0,0,0,0,0,0,0,0,260,10,0,10,10,0,0,0,40,20,0,0,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,10,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,60,20,0,0,0,0,0,0,0,0,0,0,10
